team,player,round_points,won_games,lost_games,points
NVP,rogue,0,0,0,0
NVP,cure,0,0,0,0
NVP,dream,0,0,0,0
NVP,ragnarok,0,0,0,0
MM Lolsters,ty,0,0,0,0
MM Lolsters,dongraegu,0,0,0,0
MM Lolsters,trap,0,0,0,0
MM Lolsters,byun,0,0,0,0
SS telecom Z1,dark,0,0,0,0
SS telecom Z1,parting,0,0,0,0
SS telecom Z1,zest,0,0,0,0
SS telecom Z1,sos,0,0,0,0
Varbergs Zergs,maru,0,0,0,0
Varbergs Zergs,stats,0,0,0,0
Varbergs Zergs,soo,0,0,0,0
Varbergs Zergs,bunny,0,0,0,0
Grounzhog Day,innovation,0,0,0,0
Grounzhog Day,solar,0,0,0,0
Grounzhog Day,taeja,0,0,0,0
Grounzhog Day,hurricane,0,0,0,0
